workspace,repo_slug,pipeline_uuid,step_uuid,state,name,duration_seconds
solutionsmetrixcrmdev,esl,{b5dc77f5-7490-4a44-888c-2625bc8e62c2},{b82f9591-9d29-4c40-a8bd-d7fe1ec45c09},COMPLETED,Deploy to QA,849
solutionsmetrixcrmdev,esl,{3ee193ea-0d04-435d-a7cc-68840f026e0f},{77822467-5535-46f1-a90b-8df1a94685a9},COMPLETED,Deploy to QA,668
solutionsmetrixcrmdev,esl,{5a240baf-6ffb-45ca-b3c8-e4a6982c3699},{f8d3f3f9-79a4-4dd3-8505-e0c97ead9d50},COMPLETED,Deploy to QA,455
solutionsmetrixcrmdev,esl,{974a8ed2-276d-4767-a706-c9846daa708e},{01a3d6ae-567c-4eb6-88a7-149649881854},COMPLETED,Deploy to QA,610
solutionsmetrixcrmdev,esl,{1bf8282d-0f59-4575-bbaf-331b89fad907},{bef9e62b-5d9c-4cc8-a810-9aa536422eb6},COMPLETED,Deploy to QA,572
solutionsmetrixcrmdev,esl,{f5729353-8bd2-4963-8b1a-dbaff30db74a},{94bd15f9-fa5f-456f-ba40-4bba71a8f467},COMPLETED,Deploy to QA,544
solutionsmetrixcrmdev,esl,{f49cbcef-5a28-4e68-889f-ca093ca5a0b7},{d34f516e-ece3-4a49-8718-0444e29b9522},COMPLETED,Deploy to QA,515
solutionsmetrixcrmdev,esl,{417e3684-aaad-4684-8e74-1cd322fde7ca},{ec4231ac-3fb1-4a67-824a-81e85a3b808d},COMPLETED,Deploy to QA,464
solutionsmetrixcrmdev,esl,{1a125174-34fa-44e8-82ef-4a20815df86b},{663e6174-0bc2-4dd0-b2bf-690b264d44a1},COMPLETED,Deploy to QA,469
solutionsmetrixcrmdev,esl,{3add3884-5c98-4861-bdcf-a59ee6eb4d2f},{9aa6ec12-d0c7-4c55-b662-962b892abcf2},COMPLETED,Deploy to QA,372
solutionsmetrixcrmdev,esl,{6313fe36-6814-451c-a998-a26b820a3889},{6497888d-de73-4d20-9810-0a61e846226f},COMPLETED,Deploy to QA,671
solutionsmetrixcrmdev,esl,{dec68aeb-2267-4d2a-83a3-15be784202e3},{f80db9fb-87d5-4bf3-b8ea-bf74b08c186d},COMPLETED,Deploy to QA,470
solutionsmetrixcrmdev,esl,{67f5bb32-2615-48f6-ab40-3652c4221019},{6643d9c2-e753-4db8-a2f7-7728c3c75380},COMPLETED,Deploy to QA,458
solutionsmetrixcrmdev,esl,{2fc3d5e2-0857-47cf-82b8-1c649e863e4e},{36bc7445-72e6-4ab2-a639-c5f056009d60},COMPLETED,Deploy to QA,510
