base_space_name,base_page_title,match_space_name,match_page_title
.Net Development,SWS/Reaper Deployment Package Preparation,.Net Development,SWS/Reaper Deployment - 1.1.4.2018
.Net Development,SWS/Reaper Deployments,.Net Development,SWS/Reaper Deployment - 1.1.4.2018
.Net Development,SWS/Reaper Epic 2017 Integration,.Net Development,SWS/Reaper Epic Integration
.Net Development,SWS/Reaper Epic 2018 Integration,.Net Development,SWS/Reaper Epic Integration
.Net Development,"Enterprise Services (a.k.a., Gen Services) .Net Wrapper",Product Development,Enterprise Services Architecture Deliverables
.Net Development,Enterprise Services .Net Wrapper Release Notes,Product Development,Enterprise Services Architecture Deliverables
Development Epic Migration Review/Plan,Enterprise Services,Product Development,Enterprise Services Architecture Deliverables
Diagnostic Management Team,Enterprise Service Usage,Product Development,Enterprise Services Architecture Deliverables
DotNetDevelopment,Enterprise Services .Net Wrapper Assembly,Product Development,Enterprise Services Architecture Deliverables
Enterprise Services,Enterprise Services,Product Development,Enterprise Services Architecture Deliverables
Enterprise Services,Enterprise Services Developer Documentation,Product Development,Enterprise Services Architecture Deliverables
Enterprise Services,Enterprise Services Security - Web Access,Product Development,Enterprise Services Architecture Deliverables
Enterprise Services,Enterprise Services Security - Ejb Access,Product Development,Enterprise Services Architecture Deliverables
Enterprise Services,Enterprise Services Security - Web Access - Blowfish,Product Development,Enterprise Services Architecture Deliverables
Enterprise Services,Enterprise Services and their Data Sources and clients,Product Development,Enterprise Services Architecture Deliverables
Enterprise Services,Enterprise Services User Documentation,Product Development,Enterprise Services Architecture Deliverables
Enterprise Services,Enterprise Services Support Documentation,Product Development,Enterprise Services Architecture Deliverables
Enterprise Services,Enterprise Services Dashboards provided via Splunk,Product Development,Enterprise Services Architecture Deliverables
Enterprise Services (TEP),Enterprise Services (TEP) Home,Product Development,Enterprise Services Architecture Deliverables
Enterprise Services Clients,Enterprise Services Clients,Product Development,Enterprise Services Architecture Deliverables
Epic Integrations HQ,Enterprise Services Log4j2 Fixes Part 1,Product Development,Enterprise Services Architecture Deliverables
Epic Integrations HQ,Enterprise Services Log4j2 Fixes Part 2,Product Development,Enterprise Services Architecture Deliverables
Norm Deane,Enterprise Services - TOGAF Notes,Product Development,Enterprise Services Architecture Deliverables
Norm Deane,Enterprise Services Effort,Product Development,Enterprise Services Architecture Deliverables
OAS Release Notes,Enterprise Services,Product Development,Enterprise Services Architecture Deliverables
Product Development,Enterprise Services Strategy,Product Development,Enterprise Services Architecture Deliverables
.Net Development,Release Notes 1.0.7.462,Downtime Label Printer,Release Notes 1.0.12
.Net Development,Release Notes 1.0.10.462,Downtime Label Printer,Release Notes 1.0.12
.Net Development,Release Notes 1.0.11.462,Downtime Label Printer,Release Notes 1.0.12
.Net Development,Release Notes 1.0.12.462,Downtime Label Printer,Release Notes 1.0.12
.Net Development,Release Notes 1.0.13.462,Downtime Label Printer,Release Notes 1.0.12
.Net Development,Release Notes 1.0.14.462,Downtime Label Printer,Release Notes 1.0.12
.Net Development,Release Notes 1.0.15.462,Downtime Label Printer,Release Notes 1.0.12
.Net Development,Release Notes 1.0.16.462,Downtime Label Printer,Release Notes 1.0.12
Downtime Label Printer,Release Notes 1.0.6,Downtime Label Printer,Release Notes 1.0.12
Downtime Label Printer,Release Notes 1.0.7,Downtime Label Printer,Release Notes 1.0.12
Downtime Label Printer,Release Notes 1.0.9,Downtime Label Printer,Release Notes 1.0.12
Downtime Label Printer,Release Notes 1.0.10,Downtime Label Printer,Release Notes 1.0.12
Downtime Label Printer,Release Notes 1.0.11,Downtime Label Printer,Release Notes 1.0.12
.Net Development,CDSCoreLib.dll 2.0.0.3,.Net Development,CDSCoreLib.dll 2.0.0.5
.Net Development,CDSCoreLib.dll 2.0.0.4,.Net Development,CDSCoreLib.dll 2.0.0.5
.Net Development,SWS/Reaper Release Notes - 1.0.0.12,.Net Development,SWS/Reaper Release Notes - 1.1.4
.Net Development,SWS/Reaper Release Notes - 1.0.0.15,.Net Development,SWS/Reaper Release Notes - 1.1.4
.Net Development,SWS/Reaper Release Notes - 1.0.0.17,.Net Development,SWS/Reaper Release Notes - 1.1.4
.Net Development,SWS/Reaper Release Documentation,.Net Development,SWS/Reaper Release Notes - 1.1.4
.Net Development,SWS/Reaper Release Notes,.Net Development,SWS/Reaper Release Notes - 1.1.4
.Net Development,DECOMMISSIONED Clinical Workstation / Epic Shared Workstation Dev,.Net Development,DECOMMISSIONED Covid Applications
.Net Development,Tap & Go WebAPI - Managed Service Accounts,.Net Development,Tap & Go WebAPI Service Logs
.Net Development,Tap & Go WebAPI Release Notes,.Net Development,Tap & Go WebAPI Service Logs
.Net Development,Tap & Go WebAPI Deployments,.Net Development,Tap & Go WebAPI Service Logs
.Net Development,Tap & Go WebAPI - Release 1.0.15.462,.Net Development,Tap & Go WebAPI Service Logs
.Net Development,Tap & Go WebAPI - Release 1.0.14.462,.Net Development,Tap & Go WebAPI Service Logs
.Net Development,Tap & Go WebAPI - Release 1.0.13.462,.Net Development,Tap & Go WebAPI Service Logs
.Net Development,Tap & Go WebAPI - Release 1.0.12.462,.Net Development,Tap & Go WebAPI Service Logs
.Net Development,Tap & Go WebAPI - Release 1.0.11.462,.Net Development,Tap & Go WebAPI Service Logs
.Net Development,Tap & Go WebAPI - Release 1.0.10.462,.Net Development,Tap & Go WebAPI Service Logs
.Net Development,Tap & Go WebAPI - Release 1.0.7.462,.Net Development,Tap & Go WebAPI Service Logs
.Net Development,Tap & Go WebAPI Setup,.Net Development,Tap & Go WebAPI Service Logs
.Net Development,Tap & Go WebAPI Service,.Net Development,Tap & Go WebAPI Service Logs
.Net Development,Provider System - Server/Network Configuration - Production,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
.Net Development,Provider System - Server/Network Configuration - Test,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
.Net Development,Provider System - Server/Network Configuration - Development,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 5.15.4,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 5.16.3.462,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 6.1,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 6.0,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 6.3.0,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 6.4.1,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 6.5.1,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing EMR API Update,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 6.6.1,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 6.7.1,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 6.7.2,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 6.8.1,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 6.9.1,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 6.10.2,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 6.9.2,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Validation Testing Cactus Upgrade 01/21,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Validation Testing Cactus Upgrade 06/21,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 6.10.1,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 2021.08.11,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 6.11.1,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 2021.10.06,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 2021.10.20,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 2021.11.30,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 2022.01.26,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing Provider Trust Updates,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 2022.06.15,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Validation Testing Appointment Service 7_1 Changes 2022.07.20,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 2022.07.27,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Validation Testing Cactus Upgrade 09/29/22,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Validation Testing Cactus Upgrade 09/26/22,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 2022.10.05,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 2023.05.03,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 2023.05.17,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 2023.05.25,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 2023.07.19,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 2023.07.26,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 2023.10.04,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 2023.10.18,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 2023.11.01,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing Web Services 2023.11.01,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 2023.12.13,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing 2023.11.29,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Diane Steward,Provider System Testing Web Services 2023.11.29,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Provider System,Provider System Home,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Provider System,Provider System Provider Deletion Issue,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Provider System,Provider System Database Go-Live Release,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Provider System,Provider System Update Provider Direct Address,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Provider System,Provider System Zipcode Change v4.0.1.462,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Provider System,Provider System Support DIRECT Address Updates,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
Provider and Facility Directory (PFD),Provider System (APD) Data Flow:,Provider and Facility Directory (PFD),Provider System (APD) / Epic Provider Interface
.Net Development,Downtime Label Maker,Epic Clinical Desktop Service,Downtime Label Maker Test Users
Downtime Label Printer,Downtime Label Maker UI (.NET),Epic Clinical Desktop Service,Downtime Label Maker Test Users
Downtime Label Printer,Downtime Label Maker Release Note 2.0.1 (F5 Health Monitor),Epic Clinical Desktop Service,Downtime Label Maker Test Users
.Net Development,DECOMMISSIONED Provider Phone / Pager Update Service,.Net Development,DECOMMISSIONED Printer Manager - Printer Naming Tool (estar-utils)
.Net Development,Provider Phone / Pager Update Service Deployments,.Net Development,Provider Phone / Pager Update Service 2.0.1.462 - Deployment
.Net Development,E-Docs Test Environment,E-Docs,E-Docs Test Environment Diagram
.Net Development,E-Docs Production Environment,E-Docs,E-Docs Production Environment Diagram
.Net Development,Poison Control Web Portal (PCWP),Diane Steward,Poison Control Web Portal (2023.08.09)
